tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
சடங்கில் பங்கெடுக்க முடியாத நோயாளிக்கும் எந்நேரத்திலும் திருவுணவு கொண்டுபோகலாம்.,chaḍaṅgil paṅgeḍukka muḍiyādha nōyāḷikkum yennērathilum thiruvuṇavŭ koṇḍubōgalām.
மேலும் எம்.ஜி.ஆரை அண்ணன் என்றே அழைத்ததாகவும் கூறியிருக்கிறார்.,mēlum yem.ji.ārai aṇṇaṉ yeṉḏrē azhaithadhāgavum kūṟiyirukkiṟār.
"ஏனைய இந்துப் பிரிவுகளில், மும்மூர்த்திகளில் அழிக்கும் கடவுளான ருத்திரன் இதனில் இவரின் அம்சமாக கருதப்படுகிறார்.","yēṉaiya indhup pirivugaḷil, mummūrthigaḷil azhikkum kaḍavuḷāṉa ruthiraṉ idhaṉil ivariṉ amsamāga karudhappaḍugiṟār."
"2010ல் நடந்த இராணுவப் புரட்சியை அடுத்து, தற்போது நைஜர் ஒரு பல கட்சி குடியரசாகத் திகழ்கிறது.","2010l naḍandha irāṇuvap puraṭchiyai aḍuthu, thaṟpōdhŭ naijar orŭ pala kaṭchi kuḍiyarasāgath thigazhgiṟadhu."
"மேசன் கூலி என்பாரின் முழக்கம் ""முரணெதிர்ப்பை விடக் கொட்டாவி கூடுதலாக நிலைகுலையச் செய்கிறது"" என்பதாகும்.","mēsaṉ kūli yeṉbāriṉ muzhakkam ""muraṇedhirppai viḍak koṭṭāvi kūḍudhalāga nilaigulaiyach cheygiṟadhu"" yeṉbadhāgum."
சீன வானொலி நிலையம் 1941 ஆம் ஆண்டு தொடங்கப்பட்ட உலகளாவிய ஒலிபரப்புச் சேவை ஆகும்.,chīṉa vāṉoli nilaiyam 1941 ām āṇḍŭ thoḍaṅgappaṭṭa ulagaḷāviya olibarappuch chēvai āgum.
யானைகள் நன்கு பெரிய அகன்ற மடல் போன்ற காதுகளைக் கொண்டுள்ளன.,yāṉaigaḷ naṉgŭ periya agaṉḏra maḍal pōṉḏra kādhugaḷaik koṇḍuḷḷaṉa.
"இங்கே பயனாளர்கள் ஸ்டாட்ஸ் மற்றும் தரப்பலகை உள்ளது, இது தானகவே பயனாளர்களின் பங்களிப்பை அடிப்படையாகக் கொண்டு தரம் படுத்துகிறது.","iṅgē payaṉāḷargaḷ sḍāṭs maṯṟum tharappalagai uḷḷadhu, idhŭ thāṉagavē payaṉāḷargaḷiṉ paṅgaḷippai aḍippaḍaiyāgak koṇḍŭ tharam paḍuthugiṟadhu."
செருமனியும் அதன் கூட்டுநாடுகளும் போரில் தோல்வியுற்றதைத் தொடர்ந்து பிரித்தானிய மற்றும் பிரான்சு அரசுகள் பாலஸ்தீனத்தைத் தமக்குள் பங்கிட்டுக்கொண்டன.,cherumaṉiyum adhaṉ kūṭṭunāḍugaḷum pōril thōlviyuṯṟadhaith thoḍarndhŭ pirithāṉiya maṯṟum pirāṉsŭ arasugaḷ pālasdhīṉathaith thamakkuḷ paṅgiṭṭukkoṇḍaṉa.
அவ்வாண்டிலேயே கவிதைகள் எழுதத் தொடங்கினார்.,avvāṇḍilēyē kavidhaigaḷ yezhudhath thoḍaṅgiṉār.
"முற்காலத்தில், மக்களின் ஆடை அதை அணியும் முறை ஆகியவற்றைக் கொண்டே அவர்களின் தகுதி நிர்ணயிக்கப்பட்டது.","muṟkālathil, makkaḷiṉ āḍai adhai aṇiyum muṟai āgiyavaṯṟaik koṇḍē avargaḷiṉ thagudhi nirṇayikkappaṭṭadhu."
"திறந்த சந்தையால் வழங்க முடியாத சேவைகளை வழங்குதல், பொதுநலனை பாதுகாத்தல், சமவாய்ப்புச் சூழலைப் பேணல், சுற்றுச்சூழலை பாதுகாத்தல் போன்ற செயல்பாடுகளில் அரசு முக்கியப் பங்கு வகிக்கின்றது.","thiṟandha chandhaiyāl vazhaṅga muḍiyādha chēvaigaḷai vazhaṅgudhal, podhunalaṉai pādhugāthal, chamavāyppuch chūzhalaip pēṇal, chuṯṟuchūzhalai pādhugāthal pōṉḏra cheyalbāḍugaḷil arasŭ mukkiyap paṅgŭ vagikkiṉḏradhu."
பீட்டா பிளோக்கர் ப்ரோப்ரானோலால் (beta blocker propranolol) என்ற ஒரு மருந்து மலேரியா எதிர்ப்பு மருந்தாகப் பயன்படுத்தப்படுவதற்கு ஆராய்ச்சி செய்யப்பட்டு வருகிறது.,pīṭṭā piḷōkkar prōprāṉōlāl (beta blocker propranolol) yeṉḏra orŭ marundhŭ malēriyā yedhirppŭ marundhāgap payaṉbaḍuthappaḍuvadhaṟkŭ ārāychi cheyyappaṭṭŭ varugiṟadhu.
கதிரவனில் இருந்து வரும் புறஊதாக் கதிர்கள் நுண்ணுயிர் கொல்லியாகும்.,kadhiravaṉil irundhŭ varum puṟaūdhāk kadhirgaḷ nuṇṇuyir kolliyāgum.
"பின்னர் தனது மரபணுக்களை வெளிப்படுத்தி , பல்கிபெருக ஆயத்தபடுகிறது.","piṉṉar thaṉadhŭ marabaṇukkaḷai veḷippaḍuthi , palgiberuga āyathabaḍugiṟadhu."
"1862 ஆம் ஆண்டில், கிங்ஸ் கல்லூரியில் விரிவுரையாளராக இருந்த போது, மக்ஸ்வெல் ஒரு மின்காந்த புலத்தின் பரப்பு வேகமானது ஒளியின் வேகத்தை ஒத்திருப்பதாக கண்டறிந்தார்.","1862 ām āṇḍil, kiṅs kallūriyil virivuraiyāḷarāga irundha pōdhu, maksvel orŭ miṉgāndha pulathiṉ parappŭ vēgamāṉadhŭ oḷiyiṉ vēgathai othiruppadhāga kaṇḍaṟindhār."
குடியரசுத் தலைவரே நாட்டின் தலைவராவார்.,kuḍiyarasuth thalaivarē nāṭṭiṉ thalaivarāvār.
புத்தரால் போதிக்கப்பட்டு அசோகரால் பரப்பப்பட்டது ஹீனயானம் ஆகும்.,putharāl pōdhikkappaṭṭŭ asōgarāl parappappaṭṭadhŭ hīṉayāṉam āgum.
"2007 ஆம் ஆண்டில் நிகழ்ந்த திருமணங்களில் 55 திருமணங்கள் இரு இலங்கையருக்கிடையில் நிகழ்ந்ததாகவும், 6 திருமணங்களில் ஆண்கள் நோர்வேஜியர்களாகவும் பெண்கள் இலங்கையராகவும், 7 திருமணங்களில் பெண்கள் நோர்வேஜியர்களாகவும் ஆண்கள் இலங்கையராகவும் இருந்தனர்.","2007 ām āṇḍil nigazhndha thirumaṇaṅgaḷil 55 thirumaṇaṅgaḷ irŭ ilaṅgaiyarukkiḍaiyil nigazhndhadhāgavum, 6 thirumaṇaṅgaḷil āṇgaḷ nōrvējiyargaḷāgavum peṇgaḷ ilaṅgaiyarāgavum, 7 thirumaṇaṅgaḷil peṇgaḷ nōrvējiyargaḷāgavum āṇgaḷ ilaṅgaiyarāgavum irundhaṉar."
"சுப்பிரமணியம், லா.","chuppiramaṇiyam, lā."
இயேசுவில் நம்பிக்கை வைப்பது (மற்றும் கடவுள் அனுப்பிய ஏனைய இறைதூதர்களிடமும் நம்பிக்கை வைப்பது) ஒரு முசுலிமாக இருக்கத் தேவையானது.,iyēsuvil nambikkai vaippadhŭ (maṯṟum kaḍavuḷ aṉuppiya yēṉaiya iṟaidhūdhargaḷiḍamum nambikkai vaippadhu) orŭ musulimāga irukkath thēvaiyāṉadhu.
இதை ஆரம்பிக்கும் போது எத்துக் குறியீடுகளை இட்டு இதை ஆரம்பிக்கலாம் அவ்வாறில்லாம் விசைப்பலகையில் எதையும் தட்டசுச் செய்யாமால் விட்டுக் கணினியை ஆரம்பித்தால் வழமையான கணினியின் பாகங்களைக் கண்டுபிடித்து கணினியை ஆரம்பிக்கும்.,idhai ārambikkum pōdhŭ yethuk kuṟiyīḍugaḷai iṭṭŭ idhai ārambikkalām avvāṟillām visaippalagaiyil yedhaiyum thaṭṭasuch cheyyāmāl viṭṭuk kaṇiṉiyai ārambithāl vazhamaiyāṉa kaṇiṉiyiṉ pāgaṅgaḷaik kaṇḍubiḍithŭ kaṇiṉiyai ārambikkum.
"‘மக்களின் வஞ்சம்’ எனப்படும் ஒரு சோசலிச புரட்சிக்குழு 21 நவம்பர், 1869 அன்று இவான் இவனோவ் என்ற தன் உறுப்பினர் ஒருவரையே கொலை செய்துவிட்டது என அறிந்து தஸ்தயேவ்ஸ்கி ""அசுரர்கள்"" (""Demons"") என்ற கதையை எழுத ஆரம்பித்தார்.","‘makkaḷiṉ vanjam’ yeṉappaḍum orŭ chōsalisa puraṭchikkuzhŭ 21 navambar, 1869 aṉḏrŭ ivāṉ ivaṉōv yeṉḏra thaṉ uṟuppiṉar oruvaraiyē kolai cheydhuviṭṭadhŭ yeṉa aṟindhŭ thasdhayēvsgi ""asurargaḷ"" (""Demons"") yeṉḏra kadhaiyai yezhudha ārambithār."
1939ல் ராஷ்டிரிய ஸ்வயம்சேவக் சங்கம் (ஆர்.எஸ்.எஸ்) ஒரு ஸ்வேயெம்சேவாவில் இணைந்தார்.,1939l rāshḍiriya svayamsēvak chaṅgam (ār.yes.yes) orŭ svēyemsēvāvil iṇaindhār.
"ASBRகள் குறிப்பிடத்தக்க விதத்தில் ஒரு IGP-அல்லாத திசைவித்தல் நெறிமுறையுடனும் இயங்கும் (எ.டு., BGP), அல்லது நிலையான திசைகள் அல்லது இரண்டையும் பயன்படுத்தும்.","ASBRgaḷ kuṟippiḍathakka vidhathil orŭ IGP-allādha thisaivithal neṟimuṟaiyuḍaṉum iyaṅgum (ye.ṭu., BGP), alladhŭ nilaiyāṉa thisaigaḷ alladhŭ iraṇḍaiyum payaṉbaḍuthum."
குளிர்காலத்தில் மழைக்கு பதிலாக பனி மூலம் நீர் கிடைக்கிறது.,kuḷirgālathil mazhaikkŭ padhilāga paṉi mūlam nīr kiḍaikkiṟadhu.
